institution_name,basic,grad_rate,student_count,spending_per_award,full_time_pct,full_time_count,med_sat_value,aid_value,endow_value,grad_on_time_pct,pell_value,fresh_retain_value,full_time_fac_pct,EndowXSpend,PellXSat,RetainXSat,AidXSat,AidXEndow,id
Alabama A&M University,Masters Colleges and Universities--larger programs,0.142,4051,105331,0.938,3906,823,7142,3808,0.1,0.712,0.631,0.828,401100448,585.976,519.313,5877866,27196736,1
University of Alabama at Birmingham,Research Universities--very high research activity,0.209,11502,136546,0.727,10032,1146,6088,24136,0.29,0.351,0.802,0.924,3295674256,402.246,919.0920000000001,6976848,146939968,2
University of Alabama at Huntsville,Research Universities--very high research activity,0.209,5696,64418,0.744,5000,1180,6647,11502,0.16,0.328,0.81,0.655,740935836,387.04,955.8000000000001,7843460,76453794,3
Alabama State University,Masters Colleges and Universities--larger programs,0.116,5356,132407,0.91,5035,830,7256,13202,0.08,0.827,0.622,0.67,1748037214,686.41,516.26,6022480,95793712,4
Auburn University at Montgomery,Masters Colleges and Universities--larger programs,0.154,4322,58541,0.694,3571,970,4327,10736,0.09,0.401,0.632,0.601,628496176,388.97,613.04,4197190,46454672,5
Auburn University,Research Universities--high research activity,0.215,19799,71999,0.91,19635,1215,8875,22092,0.37,0.169,0.895,0.887,1590601908,205.335,1087.425,10783125,196066500,6
Jacksonville State University,Masters Colleges and Universities--larger programs,0.181,7588,51692,0.762,6856,1036,6289,1488,0.1,0.461,0.711,0.652,76917696,477.596,736.596,6515404,9358032,7
University of West Alabama,Masters Colleges and Universities--larger programs,0.153,1999,40841,0.848,1744,950,4474,97,0.17,0.56,0.578,0.508,3961577,532,549.0999999999999,4250300,433978,8
University of Montevallo,Masters Colleges and Universities--medium programs,0.159,2618,88163,0.898,2455,1070,7109,5870,0.23,0.414,0.737,0.576,517516810,442.97999999999996,788.59,7606630,41729830,9
University of North Alabama,Masters Colleges and Universities--larger programs,0.174,5881,48127,0.815,5292,1028,4620,4290,0.12,0.419,0.708,0.689,206464830,430.73199999999997,727.824,4749360,19819800,10
University of South Alabama,Research Universities--high research activity,0.173,11307,80461,0.775,10289,1064,6250,11350,0.14,0.374,0.679,0.686,913232350,397.936,722.456,6650000,70937500,11
Troy University,Masters Colleges and Universities--larger programs,0.214,16316,38447,0.56,13261,1012,5321,33,0.13,0.476,0.739,0.374,1268751,481.712,747.8679999999999,5384852,175593,12
University of Alaska at Anchorage,Masters Colleges and Universities--larger programs,0.161,16380,88284,0.469,11469,1012,4830,4018,0.08,0.247,0.706,0.474,354725112,249.964,714.472,4887960,19406940,13
University of Alaska-Southeast,Masters Colleges and Universities--smaller programs,0.162,2645,70131,0.31,1544,1012,4688,2108,0.04,0.183,0.716,0.475,147836148,185.196,724.592,4744256,9882304,14
Arizona State University at Tempe,Research Universities--very high research activity,0.237,38730,79866,0.903,38789,1145,8503,8058,0.37,0.338,0.844,0.876,643560228,387.01000000000005,966.38,9735935,68517174,15
Dine College,Tribal Colleges,0.102,1466,165574,0.622,1357,1012,4746,3400,0,0.822,0.8,1,562951600,831.8639999999999,809.6,4802952,16136400,16
Northern Arizona University,Research Universities--high research activity,0.201,22160,49529,0.838,21724,1050,7224,4163,0.3,0.378,0.718,0.612,206189227,396.9,753.9,7585200,30073512,17
University of Arkansas at Little Rock,Doctoral/Research Universities,0.189,9970,53575,0.557,7814,1077,6619,7674,0.07,0.403,0.697,0.609,411134550,434.031,750.669,7128663,50794206,18
University of Arkansas at Pine Bluff,Baccalaureate Colleges--Diverse Fields,0.145,2521,84603,0.912,2494,842,7549,681,0.05,0.699,0.562,0.811,57614643,588.558,473.20400000000006,6356258,5140869,19
Arkansas State University,Masters Colleges and Universities--larger programs,0.236,10098,27456,0.757,9242,1088,7744,3440,0.18,0.462,0.731,0.739,94448640,502.656,795.328,8425472,26639360,20
