institution_name,basic,grad_rate,student_count,spending_per_award,full_time_pct,full_time_count,med_sat_value,aid_value,endow_value,grad_on_time_pct,pell_value,fresh_retain_value,full_time_fac_pct,EndowXSpend,PellXSat,RetainXSat,AidXSat,AidXEndow,id
Broward College,Associates--Public Urban-serving Multicampus,0.207,43883,23811,0.304,30322,1012,3732,1208,0,0.501,1,0.245,28763688,507.012,1012,3776784,4508256,73
Texas State University at San Marcos,Masters Colleges and Universities--larger programs,0.217,31005,42278,0.828,25911,1045,5963,4699,0.3,0.345,0.771,0.732,198664322,360.525,805.695,6231335,28020137,490
University of Houston-Victoria,Masters Colleges and Universities--larger programs,0.323,2889,36332,0.507,2076,903,4725,5131,0,0.437,0.478,0.591,186419492,394.611,431.63399999999996,4266675,24243975,478
College of William and Mary,Research Universities--high research activity,0.251,6271,80906,0.988,6098,1358,13615,84573,0.83,0.117,0.956,0.788,6842463138,158.886,1298.248,18489170,1151461395,515
University of North Carolina at Pembroke,Masters Colleges and Universities--medium programs,0.173,5429,57497,0.779,5048,926,5930,3278,0.15,0.535,0.676,0.748,188475166,495.41,625.976,5491180,19438540,343
Eastern Washington University,Masters Colleges and Universities--larger programs,0.211,11678,45343,0.832,10531,970,8483,1985,0.18,0.387,0.748,0.634,90005855,375.39,725.56,8228510,16838755,533
West Chester University of Pennsylvania,Masters Colleges and Universities--larger programs,0.214,13711,53890,0.909,13049,1105,5291,1756,0.43,0.241,0.874,0.72,94630840,266.305,965.77,5846555,9290996,445
St. Mary's College of Maryland,Baccalaureate Colleges--Arts & Sciences,0.22,1819,109456,0.969,1922,1221,8605,14712,0.71,0.152,0.9,0.754,1610316672,185.59199999999998,1098.9,10506705,126596760,198
University of Wisconsin at Green Bay,Masters Colleges and Universities--smaller programs,0.23,6445,45862,0.672,5322,1070,5295,5300,0.2,0.329,0.719,0.676,243068600,352.03000000000003,769.3299999999999,5665650,28063500,557
Dickinson State University,Baccalaureate Colleges--Diverse Fields,0.229,1449,49919,0.703,1411,965,3878,7753,0.15,0.234,0.555,0.603,387022007,225.81,535.575,3742270,30066134,347
Boise State University,Masters Colleges and Universities--larger programs,0.187,19026,48958,0.654,14986,1050,4125,4948,0.1,0.372,0.713,0.555,242244184,390.6,748.65,4331250,20410500,127
Grambling State University,Masters Colleges and Universities--medium programs,0.166,4155,53151,0.929,4191,863,13767,2220,0.07,0.735,0.689,0.89,117995220,634.305,594.607,11880921,30562740,169
Morgan State University,Doctoral/Research Universities,0.14,6252,102886,0.88,6227,893,7073,3328,0.11,0.615,0.721,0.847,342404608,549.1949999999999,643.853,6316189,23538944,196
Pittsburg State University,Masters Colleges and Universities--larger programs,0.195,6236,47644,0.902,6041,1010,4336,10809,0.24,0.403,0.743,0.753,514983996,407.03000000000003,750.43,4379360,46867824,159
University of Tennessee at Martin,Masters Colleges and Universities--medium programs,0.166,7025,61339,0.844,6728,1050,7521,4610,0.21,0.471,0.699,0.755,282772790,494.54999999999995,733.9499999999999,7897050,34671810,469
Saginaw Valley State University,Masters Colleges and Universities--larger programs,0.157,9163,55274,0.832,8153,990,5534,6705,0.1,0.408,0.705,0.421,370612170,403.91999999999996,697.9499999999999,5478660,37105470,224
University of Texas at San Antonio,Research Universities--high research activity,0.188,24342,53000,0.823,22635,1050,6632,3953,0.09,0.438,0.644,0.713,209509000,459.9,676.2,6963600,26216296,500
Kent State University-Tuscarawas,Associates--Public 2-year colleges under 4-year universities,0.147,2375,49990,0.368,1572,1012,3841,3808,0.04,0.5,0.694,0.415,190361920,506,702.328,3887092,14626528,365
University of Illinois at Chicago,Research Universities--very high research activity,0.231,16671,140990,0.924,15972,1092,12029,7841,0.29,0.491,0.798,0.62,1105502590,536.172,871.416,13135668,94319389,132
University of Memphis,Research Universities--high research activity,0.188,17223,66593,0.715,14524,1031,6618,12196,0.13,0.471,0.758,0.622,812168228,485.601,781.498,6823158,80713128,466
Auburn University,Research Universities--high research activity,0.215,19799,71999,0.91,19635,1215,8875,22092,0.37,0.169,0.895,0.887,1590601908,205.335,1087.425,10783125,196066500,6
University of Wisconsin-Parkside,Baccalaureate Colleges--Arts & Sciences,0.178,4450,73070,0.749,3761,990,5942,1288,0.09,0.426,0.727,0.713,94114160,421.74,719.73,5882580,7653296,560
Michigan Technological University,Research Universities--high research activity,0.204,5617,76157,0.925,5171,1206,9648,13615,0.23,0.267,0.822,0.815,1036877555,322.002,991.332,11635488,131357520,218
University of Hawaii at Hilo,Baccalaureate Colleges--Arts & Sciences,0.215,3457,105035,0.8,3036,967,6906,63,0.08,0.453,0.698,0.718,6617205,438.051,674.966,6678102,435078,124
University of Cincinnati-Raymond Walters College,Associates--Public 2-year colleges under 4-year universities,0.15,4796,56125,0.618,3699,1012,4870,58,0,0.415,1,0.364,3255250,419.97999999999996,1012,4928440,282460,359
Washburn University,Masters Colleges and Universities--medium programs,0.218,6179,59088,0.659,4786,1012,5317,27531,0.17,0.374,0.645,0.518,1626751728,378.488,652.74,5380804,146382327,160
University of Massachusetts at Boston,Research Universities--high research activity,0.211,12366,72033,0.708,10329,1015,8028,5242,0.15,0.383,0.775,0.513,377596986,388.745,786.625,8148420,42082776,204
Harris-Stowe State University,Baccalaureate Colleges--Diverse Fields,0.123,1298,107699,0.758,1155,1012,4687,969,0.02,0.755,0.431,0.275,104360331,764.0600000000001,436.17199999999997,4743244,4541703,245
Valencia Community College,Associates--Public Urban-serving Multicampus,0.243,42180,15845,0.392,30467,1012,4541,1893,0,0.446,1,0.306,29994585,451.35200000000003,1012,4595492,8596113,101
University of Pittsburgh main campus,Research Universities--very high research activity,0.234,18615,101331,0.939,18565,1258,10218,100631,0.64,0.171,0.909,0.865,10197039861,215.11800000000002,1143.522,12854244,1028247558,441
Savannah State University,Baccalaureate Colleges--Arts & Sciences,0.098,4602,102724,0.89,4045,847,5676,1037,0.08,0.74,0.702,0.782,106524788,626.78,594.5939999999999,4807572,5886012,120
Chipola College,Associates--Public 4-year Primarily Associates,0.284,2160,28134,0.436,1609,1012,4754,8895,0,0.423,1,0.35,250251930,428.07599999999996,1012,4811048,42286830,76
Pennsylvania State University-New Kensington,Baccalaureate Colleges--Diverse Fields,0.167,680,0,0.771,641,991,4663,10806,0.33,0.337,0.714,0.494,0,333.96700000000004,707.574,4621033,50388378,420
Alabama A&M University,Masters Colleges and Universities--larger programs,0.142,4051,105331,0.938,3906,823,7142,3808,0.1,0.712,0.631,0.828,401100448,585.976,519.313,5877866,27196736,1
Lewis-Clark State College,Baccalaureate Colleges--Diverse Fields,0.212,4304,52115,0.568,3199,936,4807,1610,0.08,0.417,0.598,0.631,83905150,390.31199999999995,559.728,4499352,7739270,129
University of Montana-Western,Baccalaureate Colleges--Diverse Fields,0.168,1455,61415,0.822,1388,1012,4783,2635,0.26,0.423,0.688,0.806,161828525,428.07599999999996,696.256,4840396,12603205,260
Mississippi State University,Research Universities--very high research activity,0.192,16399,56146,0.918,15593,1106,6487,20934,0.3,0.341,0.785,0.864,1175360364,377.146,868.21,7174622,135798858,242
University of Massachusetts at Dartmouth,Masters Colleges and Universities--larger programs,0.186,7437,82133,0.857,6783,1061,7372,5411,0.3,0.38,0.761,0.604,444421663,403.18,807.421,7821692,39889892,209
City College of City University of New York,Masters Colleges and Universities--larger programs,0.188,12501,97581,0.742,10578,1110,6643,17183,0.09,0.507,0.875,0.403,1676734323,562.77,971.25,7373730,114146669,296
Eastern Kentucky University,Masters Colleges and Universities--larger programs,0.204,13891,56565,0.79,12093,1009,6183,4256,0.17,0.428,0.715,0.828,240740640,431.852,721.435,6238647,26314848,162
