institution_name,grad_rate,basic,student_count,spending_per_award,full_time_pct,full_time_count,med_sat_value,aid_value,endow_value,grad_on_time_pct,pell_value,fresh_retain_value,full_time_fac_pct,flagship_binary,EndowXSpend,PellXSat,RetainXSat,AidXSat,AidXEndow
Alabama A&M University,0.142,Masters Colleges and Universities--larger programs,4051,105331,0.938,3906,823,7142,NA,0.1,0.712,0.631,0.828,0,NA,585.976,519.313,5877866,NA
University of Alabama at Birmingham,0.209,Research Universities--very high research activity,11502,136546,0.727,10032,1146,6088,24136,0.29,0.351,0.802,0.924,0,3295674256,402.246,919.092,6976848,146939968
University of Alabama at Huntsville,0.209,Research Universities--very high research activity,5696,64418,0.744,5000,1180,6647,11502,0.16,0.328,0.81,0.655,0,740935836,387.04,955.8,7843460,76453794
Alabama State University,0.116,Masters Colleges and Universities--larger programs,5356,132407,0.91,5035,830,7256,13202,0.08,0.827,0.622,0.67,0,1748037214,686.41,516.26,6022480,95793712
Auburn University at Montgomery,0.154,Masters Colleges and Universities--larger programs,4322,58541,0.694,3571,970,4327,10736,0.09,0.401,0.632,0.601,0,628496176,388.97,613.04,4197190,46454672
Auburn University,0.215,Research Universities--high research activity,19799,71999,0.91,19635,1215,8875,22092,0.37,0.169,0.895,0.887,0,1590601908,205.335,1087.425,10783125,196066500
Jacksonville State University,0.181,Masters Colleges and Universities--larger programs,7588,51692,0.762,6856,1036,6289,1488,0.1,0.461,0.711,0.652,0,76917696,477.596,736.596,6515404,9358032
University of West Alabama,0.153,Masters Colleges and Universities--larger programs,1999,40841,0.848,1744,950,4474,97,0.17,0.56,0.578,0.508,0,3961577,532,549.1,4250300,433978
University of Montevallo,0.159,Masters Colleges and Universities--medium programs,2618,88163,0.898,2455,1070,7109,5870,0.23,0.414,0.737,0.576,0,517516810,442.98,788.59,7606630,41729830
University of North Alabama,0.174,Masters Colleges and Universities--larger programs,5881,48127,0.815,5292,1028,4620,4290,0.12,0.419,0.708,0.689,0,206464830,430.732,727.824,4749360,19819800
University of South Alabama,0.173,Research Universities--high research activity,11307,80461,0.775,10289,1064,6250,11350,0.14,0.374,0.679,0.686,0,913232350,397.936,722.456,6650000,70937500
Troy University,0.214,Masters Colleges and Universities--larger programs,16316,38447,0.56,13261,NA,5321,33,0.13,0.476,0.739,0.374,0,1268751,NA,NA,NA,175593
University of Alaska at Anchorage,0.161,Masters Colleges and Universities--larger programs,16380,88284,0.469,11469,NA,4830,4018,0.08,0.247,0.706,0.474,0,354725112,NA,NA,NA,19406940
University of Alaska-Southeast,0.162,Masters Colleges and Universities--smaller programs,2645,70131,0.31,1544,NA,4688,2108,0.04,0.183,0.716,0.475,0,147836148,NA,NA,NA,9882304
Arizona State University at Tempe,0.237,Research Universities--very high research activity,38730,79866,0.903,38789,1145,8503,8058,0.37,0.338,0.844,0.876,0,643560228,387.01,966.38,9735935,68517174
Dine College,0.102,Tribal Colleges,1466,165574,0.622,1357,NA,4746,3400,NA,0.822,0.8,1,0,562951600,NA,NA,NA,16136400
Northern Arizona University,0.201,Research Universities--high research activity,22160,49529,0.838,21724,1050,7224,4163,0.3,0.378,0.718,0.612,0,206189227,396.9,753.9,7585200,30073512
University of Arkansas at Little Rock,0.189,Doctoral/Research Universities,9970,53575,0.557,7814,1077,6619,7674,0.07,0.403,0.697,0.609,0,411134550,434.031,750.669,7128663,50794206
University of Arkansas at Pine Bluff,0.145,Baccalaureate Colleges--Diverse Fields,2521,84603,0.912,2494,842,7549,681,0.05,0.699,0.562,0.811,0,57614643,588.558,473.204,6356258,5140869
Arkansas State University,0.236,Masters Colleges and Universities--larger programs,10098,27456,0.757,9242,1088,7744,3440,0.18,0.462,0.731,0.739,0,94448640,502.656,795.328,8425472,26639360
Arkansas Tech University,0.21,Masters Colleges and Universities--larger programs,10482,27356,0.674,8398,1008,6455,2252,0.2,0.456,0.694,0.616,0,61605712,459.648,699.552,6506640,14536660
University of Arkansas at Monticello,0.21,Masters Colleges and Universities--smaller programs,3706,39837,0.668,3031,NA,6197,824,0.1,0.647,0.424,0.727,0,32825688,NA,NA,NA,5106328
University of Central Arkansas,0.238,Masters Colleges and Universities--larger programs,9754,50994,0.849,8908,1070,7764,2317,0.2,0.394,0.698,0.737,0,118153098,421.58,746.86,8307480,17989188
Henderson State University,0.149,Masters Colleges and Universities--medium programs,3199,48972,0.9,3197,1011,7599,4174,0.13,0.53,0.572,0.678,0,204409128,535.83,578.292,7682589,31718226
Southern Arkansas University,0.188,Masters Colleges and Universities--medium programs,2960,45186,0.844,2681,989,8377,1061,0.13,0.515,0.643,0.656,0,47942346,509.335,635.927,8284853,8887997
University of Arkansas at Fort Smith,0.171,Baccalaureate/Associates Colleges,7170,49785,0.714,6103,1028,6161,11489,0.09,0.505,0.622,0.543,0,571979865,519.14,639.416,6333508,70783729
California Polytechnic State University at San Luis Obispo,0.207,Masters Colleges and Universities--larger programs,18739,80134,0.964,16661,1242,7499,10629,0.29,0.198,0.925,0.685,0,851744286,245.916,1148.85,9313758,79706871
California State University at Bakersfield,0.217,Masters Colleges and Universities--larger programs,7350,52362,0.887,6915,901,11089,2668,0.15,0.584,0.744,0.651,0,139701816,526.184,670.344,9991189,29585452
California State University-Stanislaus,0.246,Masters Colleges and Universities--larger programs,7754,54098,0.844,6243,917,9087,1455,0.18,0.577,0.872,0.563,0,78712590,529.109,799.624,8332779,13221585
California State University at San Bernardino,0.22,Masters Colleges and Universities--larger programs,16191,50514,0.883,14586,888,9354,1353,0.09,0.58,0.888,0.505,0,68345442,515.04,788.544,8306352,12655962
California State Polytechnic University at Pomona,0.239,Masters Colleges and Universities--larger programs,20952,50007,0.879,17439,1070,8932,3819,0.1,0.44,0.9,0.488,0,190976733,470.8,963,9557240,34111308
California State University at Chico,0.252,Masters Colleges and Universities--larger programs,15290,47231,0.929,14249,1014,9124,2401,0.16,0.389,0.866,0.528,0,113401631,394.446,878.124,9251736,21906724
California State University-Dominguez Hills,0.26,Masters Colleges and Universities--larger programs,12481,38497,0.687,8683,845,8895,1234,0.03,0.586,0.793,0.388,0,47505298,495.17,670.085,7516275,10976430
California State University at Fresno,0.211,Masters Colleges and Universities--larger programs,20295,50402,0.866,17363,920,9343,7161,0.13,0.541,0.832,0.518,0,360928722,497.72,765.44,8595560,66905223
California State University at Fullerton,0.269,Masters Colleges and Universities--larger programs,33116,40380,0.806,26806,1021,8616,1476,0.13,0.406,0.885,0.462,0,59600880,414.526,903.585,8796936,12717216
California State University-East Bay,0.258,Masters Colleges and Universities--larger programs,12146,47531,0.868,11053,910,9038,825,0.1,0.443,0.775,0.416,0,39213075,403.13,705.25,8224580,7456350
California State University at Long Beach,0.261,Masters Colleges and Universities--larger programs,30593,41585,0.844,25679,1012,8779,1788,0.14,0.473,0.888,0.503,0,74353980,478.676,898.656,8884348,15696852
California State University at Los Angeles,0.229,Masters Colleges and Universities--larger programs,19589,44071,0.831,15805,871,9061,989,0.06,0.645,0.821,0.5,0,43586219,561.795,715.091,7892131,8961329
California State University at Northridge,0.272,Masters Colleges and Universities--larger programs,33771,42587,0.835,25175,918,9439,2387,0.13,0.485,0.782,0.46,0,101655169,445.23,717.876,8665002,22530893
California State University at Sacramento,0.253,Masters Colleges and Universities--larger programs,26094,43410,0.808,20490,945,8939,1303,0.08,0.505,0.825,0.489,0,56563230,477.225,779.625,8447355,11647517
University of California at Davis,0.266,Research Universities--very high research activity,26533,129507,0.973,25844,1192,15201,7855,0.51,0.43,0.929,0.815,0,1017277485,512.56,1107.368,18119592,119403855
University of California at Irvine,0.265,Research Universities--very high research activity,23530,107625,0.983,23595,1122,16066,8945,0.67,0.432,0.918,0.774,0,962705625,484.704,1029.996,18026052,143710370
University of California at Los Angeles,0.268,Research Universities--very high research activity,28674,208579,0.979,28634,1289,16288,34375,0.69,0.362,0.963,0.772,0,7169903125,466.618,1241.307,20995232,559900000
University of California at Riverside,0.219,Research Universities--very high research activity,18621,75265,0.978,18145,1078,16330,5387,0.41,0.564,0.89,0.814,0,405452555,607.992,959.42,17603740,87969710
